Cost Center,Purchase Cost,Asset Tag,Location
10050722,"4,303.58",1000320006249-0000,RBR010 ห้วยชินสีห์
10050513,"4,303.58",1000320006250-0000,UBN019 หน้าตลาดดอนกลาง
10050736,"4,303.58",1000320006251-0000,SRN012 หน้าการเคหะสุรินทร์
10050730,"4,303.58",1000320006252-0000,RYG030 หนองก้างปลา
10050721,"4,303.58",1000320006253-0000,NPT015 นครชัยศรี
10050714,"4,303.58",1000320006254-0000,PLK009 ถนนสิงหวัฒน์
10050732,"4,303.58",1000320006255-0000,NPT020 บ้านหลังสวน สาย4
10050710,"4,303.59",1000320006256-0000,RYG027 บ้านดอน
10050723,"4,303.59",1000320006257-0000,KKN033 ตลาดหนองกุง
10050713,"4,303.59",1000320006258-0000,RYG026 โขดหิน
10050727,"4,303.59",1000320006259-0000,NBP008 โนนสัง
10050743,"4,303.59",1000320006260-0000,NPT019 กระทุ่มล้ม สาย 4
10050774,"4,303.59",1000320006260-0000,NPT019 กระทุ่มล้ม สาย 4
10050738,"4,303.59",1000320006262-0000,KKN036 ห้วยบง
10050740,"4,303.59",1000320006263-0000,ACR006 หน้าแขวงทางหลวงอำนาจเจริญ
10050717,"4,303.59",1000320006264-0000,BKK070 นาคนิวาส
10050701,"4,303.59",1000320006265-0000,CBI093 บ้านอำเภอ
10050729,"4,303.59",1000320006266-0000,CCO019 หน้านิคมเกตเวย์
10050712,"4,303.59",1000320006267-0000,CBI094 ซอยโพธิสาร
10050725,"4,303.59",1000320006268-0000,LEI001 นาอาน
10050719,"4,303.59",1000320006269-0000,CBI095 สุรศักดิ์
10050720,"4,303.59",1000320006270-0000,PTE030 ซอยคุณพระ
10050702,"4,303.59",1000320006271-0000,SPK031 ถนนศรีนครินทร์
10050733,"4,303.59",1000320006272-0000,NBP007 นากลาง
10050706,"4,303.59",1000320006273-0000,PBI005 หลังบิ๊กซีเพชรบุรี
10050728,"4,303.59",1000320006274-0000,RET014 จังหาร
10050711,"4,303.59",1000320006275-0000,RYG028 แม่น้ำคู้
10050724,"4,303.59",1000320006276-0000,KKN035 ถนนมะลิวัลย์ ร.8
10050709,"4,303.59",1000320006277-0000,NSN013 คลองคาง
10050734,"4,303.59",1000320006278-0000,PRI009 ท่าประชุม
10050700,"4,303.59",1000320006279-0000,PNB011 ศรีเทพ
10050707,"4,303.59",1000320006280-0000,KPT008 หน้าแม็คโครเมืองกำแพ
10050703,"4,303.59",1000320006281-0000,KRI012 หนองขาว
10050708,"4,303.59",1000320006282-0000,NBI039 พิมลราช - บางบัวทอง
10050696,"4,303.59",1000320006283-0000,NBI038 หมู่บ้านพระปิ่น 3
10050726,"4,303.59",1000320006284-0000,BRM020 กระสัง
10050715,"4,303.59",1000320006285-0000,SBR003 ตลาดอินทร์บุรี
10050699,"4,303.59",1000320006286-0000,CBI092 ตลาดเมืองทอง
10050704,"4,303.59",1000320006287-0000,PCT005 ทับคล้อ
10050705,"4,303.59",1000320006288-0000,NPT017 บางเลน
10050694,"3,103.85",1000320006293-0000,SKN023 เทศบาลเมืองสมุทรสาคร
10050694,"3,103.85",1000320006294-0000,SKN023 เทศบาลเมืองสมุทรสาคร
10050693,"3,103.85",1000320006295-0000,NBI036 บัวทองเคหะ
10050693,"3,103.85",1000320006296-0000,NBI036 บัวทองเคหะ
10050693,"3,103.85",1000320006297-0000,NBI036 บัวทองเคหะ
10050693,"3,103.85",1000320006298-0000,NBI036 บัวทองเคหะ
10050690,"3,103.85",1000320006299-0000,SPK028 ศรีด่าน ซอย 3
10050690,"3,103.85",1000320006300-0000,SPK028 ศรีด่าน ซอย 3
10050694,"3,103.85",1000320006301-0000,SKN023 เทศบาลเมืองสมุทรสาคร
10050694,"3,103.85",1000320006302-0000,SKN023 เทศบาลเมืองสมุทรสาคร
10050686,"3,103.85",1000320006303-0000,BKK069 ถนนสะแกงาม
10050686,"3,103.85",1000320006304-0000,BKK069 ถนนสะแกงาม
10050686,"3,103.85",1000320006305-0000,BKK069 ถนนสะแกงาม
10050686,"3,103.85",1000320006306-0000,BKK069 ถนนสะแกงาม
10050683,"3,103.85",1000320006307-0000,SKW009 สี่แยกโคกสูง
10050683,"3,103.85",1000320006308-0000,SKW009 สี่แยกโคกสูง
10050683,"3,103.85",1000320006309-0000,SKW009 สี่แยกโคกสูง
10050683,"3,103.85",1000320006310-0000,SKW009 สี่แยกโคกสูง
10050690,"3,103.85",1000320006311-0000,SPK028 ศรีด่าน ซอย 3
10050690,"3,103.85",1000320006312-0000,SPK028 ศรีด่าน ซอย 3
10050697,"3,103.85",1000320006313-0000,PRI007 วงเวียนนเรศวร
10050697,"3,103.85",1000320006314-0000,PRI007 วงเวียนนเรศวร
10050695,"3,103.85",1000320006315-0000,SPK030 ตลาดด่านสำโรง
10050698,"3,103.85",1000320006316-0000,CBI091 ซอยเนินพลับหวาน
10050695,"3,103.85",1000320006317-0000,SPK030 ตลาดด่านสำโรง
10050697,"3,103.85",1000320006318-0000,PRI007 วงเวียนนเรศวร
10050698,"3,103.85",1000320006319-0000,CBI091 ซอยเนินพลับหวาน
10050695,"3,103.85",1000320006320-0000,SPK030 ตลาดด่านสำโรง
10050698,"3,103.85",1000320006321-0000,CBI091 ซอยเนินพลับหวาน
10050695,"3,103.85",1000320006322-0000,SPK030 ตลาดด่านสำโรง
10050697,"3,103.85",1000320006323-0000,PRI007 วงเวียนนเรศวร
10050704,"3,103.85",1000320006324-0000,PCT005 ทับคล้อ
10050703,"3,103.85",1000320006325-0000,KRI012 หนองขาว
10050703,"3,103.85",1000320006326-0000,KRI012 หนองขาว
10050704,"3,103.85",1000320006327-0000,PCT005 ทับคล้อ
10050704,"3,103.85",1000320006328-0000,PCT005 ทับคล้อ
10050703,"3,103.85",1000320006329-0000,KRI012 หนองขาว
10050703,"3,103.85",1000320006330-0000,KRI012 หนองขาว
10050705,"3,103.85",1000320006331-0000,NPT017 บางเลน
10050699,"3,103.85",1000320006332-0000,CBI092 ตลาดเมืองทอง
10050700,"3,103.85",1000320006333-0000,PNB011 ศรีเทพ
10050700,"3,103.85",1000320006334-0000,PNB011 ศรีเทพ
10050704,"3,103.85",1000320006335-0000,PCT005 ทับคล้อ
10050700,"3,103.85",1000320006336-0000,PNB011 ศรีเทพ
10050700,"3,103.85",1000320006337-0000,PNB011 ศรีเทพ
10050698,"3,103.85",1000320006338-0000,CBI091 ซอยเนินพลับหวาน
10050705,"3,103.85",1000320006339-0000,NPT017 บางเลน
10050699,"3,103.85",1000320006340-0000,CBI092 ตลาดเมืองทอง
10050699,"3,103.85",1000320006341-0000,CBI092 ตลาดเมืองทอง
10050699,"3,103.85",1000320006342-0000,CBI092 ตลาดเมืองทอง
10050715,"3,103.85",1000320006343-0000,SBR003 ตลาดอินทร์บุรี
10050715,"3,103.85",1000320006344-0000,SBR003 ตลาดอินทร์บุรี
10050724,"3,103.85",1000320006345-0000,KKN035 ถนนมะลิวัลย์ ร.8
10050728,"3,103.85",1000320006346-0000,RET014 จังหาร
10050728,"3,103.85",1000320006347-0000,RET014 จังหาร
10050728,"3,103.85",1000320006348-0000,RET014 จังหาร
10050696,"3,103.85",1000320006349-0000,NBI038 หมู่บ้านพระปิ่น 3
10050733,"3,103.85",1000320006350-0000,NBP007 นากลาง
10050728,"3,103.85",1000320006351-0000,RET014 จังหาร
10050696,"3,103.85",1000320006352-0000,NBI038 หมู่บ้านพระปิ่น 3
10050709,"3,103.85",1000320006353-0000,NSN013 คลองคาง
10050711,"3,103.85",1000320006354-0000,RYG028 แม่น้ำคู้
10050724,"3,103.85",1000320006355-0000,KKN035 ถนนมะลิวัลย์ ร.8
10050696,"3,103.85",1000320006356-0000,NBI038 หมู่บ้านพระปิ่น 3
10050724,"3,103.85",1000320006357-0000,KKN035 ถนนมะลิวัลย์ ร.8
10050724,"3,103.85",1000320006358-0000,KKN035 ถนนมะลิวัลย์ ร.8
10050720,"3,103.85",1000320006359-0000,PTE030 ซอยคุณพระ
10050733,"3,103.85",1000320006360-0000,NBP007 นากลาง
10050711,"3,103.85",1000320006361-0000,RYG028 แม่น้ำคู้
10050728,"3,103.85",1000320006362-0000,RET014 จังหาร
10050711,"3,103.85",1000320006363-0000,RYG028 แม่น้ำคู้
10050734,"3,103.85",1000320006364-0000,PRI009 ท่าประชุม
10050696,"3,103.85",1000320006365-0000,NBI038 หมู่บ้านพระปิ่น 3
10050720,"3,103.85",1000320006366-0000,PTE030 ซอยคุณพระ
10050720,"3,103.85",1000320006367-0000,PTE030 ซอยคุณพระ
10050720,"3,103.85",1000320006368-0000,PTE030 ซอยคุณพระ
10050734,"3,103.85",1000320006369-0000,PRI009 ท่าประชุม
10050711,"3,103.85",1000320006370-0000,RYG028 แม่น้ำคู้
10050706,"3,103.85",1000320006371-0000,PBI005 หลังบิ๊กซีเพชรบุรี
10050705,"3,103.85",1000320006372-0000,NPT017 บางเลน
10050711,"3,103.85",1000320006373-0000,RYG028 แม่น้ำคู้
10050709,"3,103.85",1000320006374-0000,NSN013 คลองคาง
10050709,"3,103.85",1000320006375-0000,NSN013 คลองคาง
